spn\alliance\alderaan\broonmark\motorcade_speeder.spn_p,art\static\area\hth_hoth\vehicle\hth_veh_neu_speeder_02.gr2
spn\location\dromund_kaas\bronze\peronsal_challenge\kreggs_locker.spn_p,dyn\location\dromund_kaas\bronze\personal_challenge\kreggs_locker.dyn
spn\location\dromund_kaas\bronze\possessed_hunter\bounty_board.spn_p,art\static\area\all_all\item\tech\all_item_tech_bounty_board_kiosk_pickup.gr2
spn\location\dromund_kaas\bronze\possessed_hunter\drop_box.spn_p,art\static\area\all_all\item\tech\all_item_tech_bounty_board_kiosk_dropoff.gr2
spn\location\dromund_kaas\bronze\saving_face\drill_1.spn_p,dyn\location\dromund_kaas\bronze\saving_face\big_drill_rework.dyn
spn\location\dromund_kaas\bronze\saving_face\drill_2.spn_p,dyn\location\dromund_kaas\bronze\saving_face\big_drill_rework.dyn
spn\location\dromund_kaas\bronze\saving_face\drill_3.spn_p,dyn\location\dromund_kaas\bronze\saving_face\big_drill_rework.dyn
spn\location\dromund_kaas\bronze\saving_face\explosives.spn_p,dyn\location\dromund_kaas\bronze\saving_face\explosives.dyn
spn\location\dromund_kaas\bronze\saving_face\plant_bomb_panel.spn_p,art\static\area\all_all\item\tech\all_item_tech_controlpanel_wall09.gr2
spn\location\dromund_kaas\bronze\shadow_spawn\ancient_archway.spn_p,dyn\location\dromund_kaas\bronze\shadow_spawn\sith_alter.dyn
spn\location\dromund_kaas\bronze\shadow_spawn\sith_apprentice_dhaiv.spn_p,dyn\location\dromund_kaas\bronze\shadow_spawn\dhaiv.dyn
spn\location\dromund_kaas\bronze\shadow_spawn\sith_apprentice_mkaal.spn_p,dyn\location\dromund_kaas\bronze\shadow_spawn\mkaal.dyn
spn\location\dromund_kaas\bronze\shadow_spawn\sith_apprentice_shon.spn_p,dyn\location\dromund_kaas\bronze\shadow_spawn\shon.dyn
spn\location\dromund_kaas\bronze\shadow_spawn\sith_apprentice_zane.spn_p,dyn\location\dromund_kaas\bronze\shadow_spawn\zane.dyn
spn\location\dromund_kaas\bronze\shadow_spawn\sith_apprentice_zeevon.spn_p,dyn\location\dromund_kaas\bronze\shadow_spawn\zeevon.dyn
spn\location\dromund_kaas\bronze\shadow_spawn\spawn_door.spn_p,dyn\location\dromund_kaas\bronze\shadow_spawn\spawn_door.dyn
spn\location\dromund_kaas\bronze\the_accursed\dead_archaeologist.spn_p,art\static\designblockout\republic\republic_body\designblockout_republic_body.gr2
spn\location\dromund_kaas\bronze\the_accursed\holopad.spn_p,art\static\area\all_all\item\tech\all_item_tech_datapad_ancient_01.gr2
spn\location\dromund_kaas\bronze\the_dig\ancient_tablet.spn_p,art\static\area\kor_korriban\item\kor_tomb_item_tablet.gr2
spn\location\dromund_kaas\bronze\the_dig\holocron_reliquery.spn_p,art\static\item\container\item_con_crate_ancient_01.gr2
spn\location\dromund_kaas\bronze\unauthorized_transmission_part_ii\droid_dispatch_unit.spn_p,art\static\area\all_all\arch\imperial\all_arch_imp_pillar_computer_top.gr2
spn\location\dromund_kaas\class\bounty_hunter\a_musty_trail\altaca_datapad.spn_p,art\static\area\all_all\item\tech\all_item_tech_datapad_01.gr2
spn\location\dromund_kaas\class\bounty_hunter\a_musty_trail\cantina_door.spn_p,dyn\location\dromund_kaas\class\bounty_hunter\cantina_door.dyn
spn\location\dromund_kaas\class\bounty_hunter\a_musty_trail\cantina_door_panel.spn_p,art\static\area\all_all\item\tech\all_item_tech_door_control_panel_03.gr2
spn\location\dromund_kaas\class\bounty_hunter\family_cleansing\office_door.spn_p,art\static\area\all_all\arch\imperial\all_arch_imp_cantina_door_closed.gr2
spn\location\dromund_kaas\class\bounty_hunter\joy_ride\security_door.spn_p,dyn\location\dromund_kaas\class\bounty_hunter\security_door.dyn
spn\location\dromund_kaas\class\bounty_hunter\joy_ride\security_door_panel.spn_p,art\static\area\all_all\item\tech\all_item_tech_door_control_panel_03.gr2
spn\location\dromund_kaas\class\bounty_hunter\joy_ride\ship_door_panel.spn_p,art\static\area\spc_space\playership\spc_ps_bh_int_door_ext.gr2
spn\location\dromund_kaas\class\multi\arrivals_console.spn_p,art\static\area\all_all\item\tech\all_item_tech_podium.gr2
spn\location\dromund_kaas\class\multi\shuttle_terminal.spn_p,dyn\generic\tech\city_computer.dyn
spn\location\dromund_kaas\class\sith_sorcerer\at_the_foot_of_the_colossus\alarms.spn_p,dyn\generic\environment\alarm\wall_mounted_alarm.dyn
spn\location\dromund_kaas\class\sith_sorcerer\at_the_foot_of_the_colossus\monitoring_station_alpha.spn_p,dyn\generic\destroyable\imperial\tech\impship_console_01.dyn
spn\location\dromund_kaas\class\sith_sorcerer\at_the_foot_of_the_colossus\monitoring_station_beta.spn_p,dyn\generic\destroyable\imperial\tech\impship_console_01.dyn
spn\location\dromund_kaas\class\sith_sorcerer\at_the_foot_of_the_colossus\monitoring_station_sigma.spn_p,dyn\generic\destroyable\imperial\tech\impship_console_01.dyn
spn\location\dromund_kaas\class\sith_sorcerer\at_the_foot_of_the_colossus\primary_security_station.spn_p,dyn\location\dromund_kaas\class\sith_sorcerer\at_the_foot_of_the_colossus\primary_computer.dyn
spn\location\dromund_kaas\class\sith_sorcerer\at_the_foot_of_the_colossus\reliquary_door_locked.spn_p,dyn\generic\door\impfort_smalldoor_basic.dyn
spn\location\dromund_kaas\class\sith_sorcerer\at_the_foot_of_the_colossus\trandoshan_relic.spn_p,dyn\location\dromund_kaas\class\sith_sorcerer\at_the_foot_of_the_colossus\relic.dyn
spn\location\dromund_kaas\class\sith_sorcerer\dismantling_the_machine\door.spn_p,dyn\generic\door\impship_smalldoor_basic.dyn
spn\location\dromund_kaas\class\sith_sorcerer\dismantling_the_machine\door_panel.spn_p,art\static\area\all_all\item\tech\all_item_tech_door_control_panel_03.gr2
spn\location\dromund_kaas\class\sith_sorcerer\dismantling_the_machine\grathan_door.spn_p,dyn\generic\door\impfort_largedoor_basic.dyn
spn\location\dromund_kaas\class\sith_sorcerer\dismantling_the_machine\prototype.spn_p,dyn\location\dromund_kaas\class\sith_sorcerer\dismantling_the_machine\takable_prototype.dyn
spn\location\dromund_kaas\class\sith_sorcerer\dismantling_the_machine\prototype_electricity.spn_p,dyn\location\dromund_kaas\class\sith_sorcerer\dismantling_the_machine\prototype.dyn
spn\location\dromund_kaas\class\sith_sorcerer\dismantling_the_machine\prototype_new.spn_p,dyn\location\dromund_kaas\class\sith_sorcerer\dismantling_the_machine\takable_prototype.dyn
spn\location\dromund_kaas\class\sith_sorcerer\dismantling_the_machine\prototype_panel.spn_p,dyn\location\dromund_kaas\class\sith_sorcerer\dismantling_the_machine\prototype_new.dyn
spn\location\dromund_kaas\class\sith_sorcerer\in_the_halls_of_traitors\artifact.spn_p,dyn\location\dromund_kaas\class\sith_sorcerer\in_the_halls_of_traitors\artifact.dyn
spn\location\dromund_kaas\class\sith_sorcerer\in_the_halls_of_traitors\chamber_door.spn_p,dyn\location\dromund_kaas\class\sith_sorcerer\in_the_halls_of_traitors\chamber_door.dyn
spn\location\dromund_kaas\class\sith_sorcerer\in_the_halls_of_traitors\tomb_door.spn_p,dyn\location\dromund_kaas\class\sith_sorcerer\in_the_halls_of_traitors\tomb_door.dyn
spn\location\dromund_kaas\class\sith_warrior\an_ancient_answer\ravager.spn_p,art\static\item\container\item_con_crate_ancient_02.gr2
spn\location\dromund_kaas\class\sith_warrior\laying_waste\monitoring_station_elevator.spn_p,dyn\generic\destroyable\imperial\tech\impship_console_01.dyn
spn\location\dromund_kaas\class\sith_warrior\laying_waste\monitoring_station_hallway.spn_p,dyn\generic\destroyable\imperial\tech\impship_console_01.dyn
spn\location\dromund_kaas\class\sith_warrior\laying_waste\monitoring_station_main_room.spn_p,dyn\generic\destroyable\imperial\tech\impship_console_01.dyn
spn\location\dromund_kaas\class\sith_warrior\laying_waste\secret_door_estate.spn_p,art\static\area\all_all\item\tech\all_item_tech_door_control_panel_03.gr2
spn\location\dromund_kaas\class\sith_warrior\laying_waste\security_door_estate.spn_p,art\static\area\all_all\item\tech\all_item_tech_door_control_panel_03.gr2
spn\location\dromund_kaas\class\sith_warrior\leaving_dromund_kaas\hangar_door.spn_p,art\static\area\all_all\arch\neutral\all_arch_neu_spaceport_door_lower_lobby_01.gr2
spn\location\dromund_kaas\class\sith_warrior\multi\grik_sonosan_frozen.spn_p,art\static\area\all_all\item\tech\all_item_tech_carbonite_prison.gr2
spn\location\dromund_kaas\class\sith_warrior\multi\torture_table.spn_p,dyn\location\dromund_kaas\class\sith_warrior\multi\torture_table.dyn
spn\location\dromund_kaas\class\sith_warrior\pull_the_plug\evidence.spn_p,dyn\generic\containers\footlocker.dyn
spn\location\dromund_kaas\class\sith_warrior\the_transporter\cargo_port_door.spn_p,art\static\area\all_all\arch\imperial\all_arch_imp_fort_hallway_doorcap_02.gr2
spn\location\dromund_kaas\class\sith_warrior\the_transporter\cargo_port_elevator_bottom.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.gr2
spn\location\dromund_kaas\class\sith_warrior\the_transporter\cargo_port_elevator_top.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.gr2
spn\location\dromund_kaas\class\sith_warrior\the_transporter\grik_sonosan_frozen_trans.spn_p,art\static\area\all_all\item\tech\all_item_tech_carbonite_prison.gr2
spn\location\dromund_kaas\class\spy\arrival\equipment_locker.spn_p,art\static\item\container\item_con_locker_imperial.gr2
spn\location\dromund_kaas\class\spy\cinematic\ship_lights.spn_p,dyn\location\dromund_kaas\class\spy\cinematic\ship_lights.dyn
spn\location\dromund_kaas\class\spy\cleaning_up_the_mess\cargo_port_elevator_bottom.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.gr2
spn\location\dromund_kaas\class\spy\cleaning_up_the_mess\cargo_port_elevator_top.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.gr2
spn\location\dromund_kaas\class\spy\cleaning_up_the_mess\maintenance_conduit.spn_p,dyn\location\dromund_kaas\class\spy\cleaning_up_the_mess\use_cargo.dyn
spn\location\dromund_kaas\class\spy\cleaning_up_the_mess\release_mousedroid.spn_p,art\static\designblockout\designutility\dbo_decal_red_x.gr2
spn\location\dromund_kaas\class\spy\doom_and_the_dark_temple\detonator_01.spn_p,art\static\area\all_all\item\tech\all_item_tech_homing_beacon.gr2
spn\location\dromund_kaas\class\spy\doom_and_the_dark_temple\detonator_02.spn_p,art\static\area\all_all\item\tech\all_item_tech_homing_beacon.gr2
spn\location\dromund_kaas\class\spy\doom_and_the_dark_temple\detonator_03.spn_p,art\static\area\all_all\item\tech\all_item_tech_homing_beacon.gr2
spn\location\dromund_kaas\class\spy\doom_and_the_dark_temple\detonator_04.spn_p,art\static\area\all_all\item\tech\all_item_tech_homing_beacon.gr2
spn\location\dromund_kaas\class\spy\high_society\card_access.spn_p,art\static\area\all_all\item\tech\all_item_tech_door_control_panel_03.gr2
spn\location\dromund_kaas\class\spy\high_society\computer.spn_p,art\static\area\all_all\arch\underworld\all_arch_und_factory_interior_panel02.gr2
spn\location\dromund_kaas\class\spy\high_society\holo_communicator.spn_p,art\static\area\all_all\item\underworld\all_item_und_holo_communicator.gr2
spn\location\dromund_kaas\class\spy\high_society\workshop_door_01.spn_p,dyn\location\dromund_kaas\class\spy\high_society\door_exploade.dyn
spn\location\dromund_kaas\class\spy\high_society\workshop_door_02.spn_p,dyn\location\dromund_kaas\class\spy\high_society\door_exploade.dyn
spn\location\dromund_kaas\class\spy\the_mindak_cache\storage_unit.spn_p,art\static\item\container\item_con_plasteel_crate_01.gr2
spn\location\dromund_kaas\class\spy\the_path_leads_to_dromund_kaas\ship_door.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.gr2
spn\location\dromund_kaas\class\spy\the_slaves_secret\equipment_locker.spn_p,dyn\location\dromund_kaas\class\spy\the_slaves_secret\locker.dyn
spn\location\dromund_kaas\class\spy\the_slaves_secret\jurithus_body.spn_p,dyn\location\dromund_kaas\class\spy\the_slaves_secret\jurithus_body.dyn
spn\location\dromund_kaas\data_holocron\datacron_agility_dro_kaas.spn_p,art\static\area\all_all\item\all_item_tech_datacron_endurance.gr2
spn\location\dromund_kaas\data_holocron\datacron_cunning_dro_kaas.spn_p,art\static\area\all_all\item\all_item_tech_datacron_cunning.gr2
spn\location\dromund_kaas\data_holocron\datacron_matrix_dro_kaas.spn_p,art\static\area\all_all\item\all_item_tech_datacron_min_max_choice.gr2
spn\location\dromund_kaas\data_holocron\datacron_strength_dro_kaas.spn_p,art\static\area\all_all\item\all_item_tech_datacron_strength.gr2
spn\location\dromund_kaas\data_holocron\datacron_willpower_dro_kaas.spn_p,art\static\area\all_all\item\all_item_tech_datacron_presence.gr2
spn\location\dromund_kaas\elevator\ambient_kaas_city_mouse_droid_01.spn_p,art\static\item\tech\droid\mouse_droid01.gr2
spn\location\dromund_kaas\elevator\dark_sanctum_excavation\elevator_panel_bottom.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.gr2
spn\location\dromund_kaas\elevator\dark_sanctum_excavation\elevator_panel_top.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.gr2
spn\location\dromund_kaas\elevator\elev_poi01_imperial_command.spn_p,art\static\area\all_all\arch\underworld\all_arch_und_factory_elevator.gr2
spn\location\dromund_kaas\elevator\elev_poi01_mandalorianenclave_01.spn_p,art\static\area\all_all\arch\underworld\all_arch_und_factory_elevator.gr2
spn\location\dromund_kaas\elevator\elev_poi01_sith_sanctum.spn_p,art\static\area\all_all\arch\underworld\all_arch_und_factory_elevator.gr2
spn\location\dromund_kaas\elevator\elev_poi01_sith_sanctum_02.spn_p,art\static\area\all_all\arch\underworld\all_arch_und_factory_elevator.gr2
spn\location\dromund_kaas\elevator\elev_poi01_spaceport_ship_01.spn_p,art\static\vehicle\imp\veh_imp_starfighter_interceptor.gr2
spn\location\dromund_kaas\elevator\elev_poi02_kaas_city_01.spn_p,art\static\area\all_all\item\imperial\all_item_imp_scaffold_platform_d.gr2
spn\location\dromund_kaas\elevator\elev_poi02_kaas_city_02.spn_p,art\static\area\all_all\item\imperial\all_item_imp_scaffold_platform_d.gr2
spn\location\dromund_kaas\elevator\elev_poi02_kaas_city_03.spn_p,art\static\area\all_all\item\imperial\all_item_imp_scaffold_platform_d.gr2
spn\location\dromund_kaas\elevator\elev_poi02_kaas_city_nexus_cantina.spn_p,art\static\area\all_all\item\imperial\all_item_imp_scaffold_elevator_lift.gr2
spn\location\dromund_kaas\elevator\elev_poi03_kaas_city_expansion_01.spn_p,art\static\area\all_all\item\imperial\all_item_imp_scaffold_elevator_lift.gr2
spn\location\dromund_kaas\elevator\elev_poi03_kaas_city_expansion_02.spn_p,art\static\area\all_all\item\imperial\all_item_imp_scaffold_elevator_lift.gr2
spn\location\dromund_kaas\elevator\elev_poi03_kaas_city_expansion_03.spn_p,art\static\area\all_all\item\imperial\all_item_imp_scaffold_elevator_lift.gr2
spn\location\dromund_kaas\elevator\elev_poi06_torval_research_camp_01.spn_p,art\static\area\all_all\item\imperial\all_item_imp_scaffold_elevator_lift.gr2
spn\location\dromund_kaas\elevator\elev_poi09_the_unfinished_colossus_01.spn_p,art\static\area\all_all\item\imperial\all_item_imp_scaffold_elevator_lift.gr2
spn\location\dromund_kaas\elevator\elev_poi09_the_unfinished_colossus_02.spn_p,art\static\area\all_all\item\imperial\all_item_imp_scaffold_elevator_lift.gr2
spn\location\dromund_kaas\elevator\elev_poi09_the_unfinished_colossus_03.spn_p,art\static\area\all_all\item\imperial\all_item_imp_scaffold_elevator_lift.gr2
spn\location\dromund_kaas\elevator\elev_poi09_the_unfinished_colossus_04.spn_p,art\static\area\all_all\item\imperial\all_item_imp_scaffold_elevator_lift.gr2
spn\location\dromund_kaas\elevator\elev_poi15_grathanestate_01.spn_p,art\static\area\all_all\arch\imperial\all_arch_imp_fort_elevator_platform.gr2
spn\location\dromund_kaas\hearth_stone\hearth_cgr_kaas_city_imperial_intelligence.spn_p,art\static\area\all_all\item\tech\all_item_tech_hearthstone_terminal.gr2
spn\location\dromund_kaas\hearth_stone\hearth_cgr_kaas_city_mandalorian_enclave.spn_p,art\static\area\all_all\item\tech\all_item_tech_hearthstone_terminal.gr2
spn\location\dromund_kaas\hearth_stone\hearth_cgr_kaas_city_sith_sanctum.spn_p,art\static\area\all_all\item\tech\all_item_tech_hearthstone_terminal.gr2
spn\location\dromund_kaas\hearth_stone\hearth_poi01_kaasspaceport.spn_p,art\static\area\all_all\item\tech\all_item_tech_hearthstone_terminal.gr2
spn\location\dromund_kaas\hearth_stone\hearth_poi02_kaascity.spn_p,art\static\area\all_all\item\tech\all_item_tech_hearthstone_terminal.gr2
spn\location\dromund_kaas\hearth_stone\hearth_poi02_kaas_city_cantina.spn_p,art\static\area\all_all\item\tech\all_item_tech_hearthstone_terminal.gr2
spn\location\dromund_kaas\hearth_stone\hearth_poi03_kaascityexpansion.spn_p,art\static\area\all_all\item\tech\all_item_tech_hearthstone_terminal.gr2
spn\location\dromund_kaas\hearth_stone\hearth_poi06_outpost_warden.spn_p,art\static\area\all_all\item\tech\all_item_tech_hearthstone_terminal.gr2
spn\location\dromund_kaas\hearth_stone\hearth_poi11_thewall.spn_p,art\static\area\all_all\item\tech\all_item_tech_hearthstone_terminal.gr2
spn\location\dromund_kaas\hearth_stone\hearth_poi12_revanite_compound.spn_p,art\static\area\all_all\item\tech\all_item_tech_hearthstone_terminal.gr2
spn\location\dromund_kaas\hearth_stone\hearth_poi27_outpost_tempest.spn_p,art\static\area\all_all\item\tech\all_item_tech_hearthstone_terminal.gr2
spn\location\dromund_kaas\heroic_weekly\mission_board.spn_p,art\static\area\all_all\item\tech\all_item_tech_bounty_board_kiosk_pickup_v2.gr2
spn\location\dromund_kaas\item_station\item_station_poi02_kaas_vendor.spn_p,art\static\area\all_all\item\tech\all_item_tech_upgrade_terminal.gr2
spn\location\dromund_kaas\item_station\item_station_poi06_outpost_warden.spn_p,art\static\area\all_all\item\tech\all_item_tech_upgrade_terminal.gr2
spn\location\dromund_kaas\item_station\item_station_poi09_sanctum_excavation.spn_p,art\static\area\all_all\item\tech\all_item_tech_upgrade_terminal.gr2
spn\location\dromund_kaas\item_station\item_station_poi11_the_wall.spn_p,art\static\area\all_all\item\tech\all_item_tech_upgrade_terminal.gr2
spn\location\dromund_kaas\jukeboxes\dro_jukebox_imp.spn_p,dyn\location\dromund_kaas\jukeboxes\dro_jukebox_imp.dyn
spn\location\dromund_kaas\mailbox\mailbox_imperial_command.spn_p,art\static\area\all_all\item\tech\all_item_tech_mailbox.gr2
spn\location\dromund_kaas\mailbox\mailbox_kaas_city_entrance.spn_p,art\static\area\all_all\item\tech\all_item_tech_mailbox.gr2
spn\location\dromund_kaas\mailbox\mailbox_kaas_city_shops.spn_p,art\static\area\all_all\item\tech\all_item_tech_mailbox.gr2
spn\location\dromund_kaas\mailbox\mailbox_mandalorian_enclave.spn_p,art\static\area\all_all\item\tech\all_item_tech_mailbox.gr2
spn\location\dromund_kaas\mailbox\mailbox_outpost_tempest.spn_p,art\static\area\all_all\item\tech\all_item_tech_mailbox.gr2
spn\location\dromund_kaas\mailbox\mailbox_outpost_warden.spn_p,art\static\area\all_all\item\tech\all_item_tech_mailbox.gr2
spn\location\dromund_kaas\mailbox\mailbox_sith_consulate.spn_p,art\static\area\all_all\item\tech\all_item_tech_mailbox.gr2
spn\location\dromund_kaas\mailbox\mailbox_spaceport.spn_p,art\static\area\all_all\item\tech\all_item_tech_mailbox.gr2
spn\location\dromund_kaas\mailbox\mailbox_temple_approach.spn_p,art\static\area\all_all\item\tech\all_item_tech_mailbox.gr2
spn\location\dromund_kaas\mailbox\mailbox_the_wall.spn_p,art\static\area\all_all\item\tech\all_item_tech_mailbox.gr2
spn\location\dromund_kaas\mob\spaceport_expanse\staged01\training_dummy_invis_target.spn_p,art\static\designblockout\DesignUtility\dbo_utility_flag_red.gr2
spn\location\dromund_kaas\mob\staged\poi02_kaas_city\dyn_kolto_tank.spn_p,dyn\location\dromund_kaas\staged\poi02_kaas_city\neu_kolto_tank.dyn
spn\location\dromund_kaas\teleporters\elevator_kaas_expansion_to_bottom_01.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.max.gr2
spn\location\dromund_kaas\teleporters\elevator_kaas_expansion_to_bottom_02.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.max.gr2
spn\location\dromund_kaas\teleporters\elevator_kaas_expansion_to_top_01.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.max.gr2
spn\location\dromund_kaas\teleporters\elevator_kaas_expansion_to_top_02.spn_p,art\static\area\all_all\item\tech\all_item_tech_remote_detonator.max.gr2
spn\location\dromund_kaas\treasure_chests\treasure_small.spn_p,dyn\generic\containers\treasure_medium.dyn
spn\location\dromund_kaas\wonkavator\agent\cargo_port_a3.spn_p,dyn\generic\wonkavator\wonkavator_spaceport_vertical.dyn
spn\location\dromund_kaas\wonkavator\agent\spaceport_hangar.spn_p,dyn\generic\wonkavator\wonkavator_spaceport_horizontal.dyn
spn\location\dromund_kaas\wonkavator\ambient\shuttle_to_imp_fleet.spn_p,dyn\generic\tech\controlpanel_stand01.dyn
spn\location\dromund_kaas\wonkavator\bounty_hunter\quest_spaceport_hangar.spn_p,dyn\generic\wonkavator\wonkavator_spaceport_horizontal.dyn
spn\location\dromund_kaas\wonkavator\bounty_hunter\spaceport_hangar.spn_p,dyn\generic\wonkavator\wonkavator_spaceport_horizontal.dyn
spn\location\dromund_kaas\wonkavator\sith_inquisitor\spaceport_hangar.spn_p,dyn\generic\wonkavator\wonkavator_spaceport_horizontal.dyn
spn\location\dromund_kaas\wonkavator\sith_warrior\cargo_port_b7.spn_p,dyn\generic\wonkavator\wonkavator_spaceport_vertical.dyn
spn\location\dromund_kaas\wonkavator\sith_warrior\spaceport_hangar.spn_p,dyn\generic\wonkavator\wonkavator_spaceport_horizontal.dyn
spn\location\dromund_kaas\wonkavator\world\arrival_hangar.spn_p,dyn\generic\wonkavator\wonkavator_spaceport_horizontal.dyn
spn\location\dromund_kaas\wonkavator\world\private_hangar.spn_p,dyn\generic\wonkavator\wonkavator_spaceport_horizontal.dyn
spn\location\dromund_kaas\world\black_science\main_computer_console.spn_p,art\static\area\all_all\item\tech\all_item_tech_controlpanel_keyboard02.gr2
spn\location\dromund_kaas\world\black_science\remote_terminal_a7.spn_p,art\static\area\all_all\item\republic\all_item_rep_wall_computer_01.gr2
spn\location\dromund_kaas\world\black_science\remote_terminal_b13.spn_p,dyn\location\dromund_kaas\world\black_science\computer_console.dyn
spn\location\dromund_kaas\world\black_science\remote_terminal_g16.spn_p,dyn\location\dromund_kaas\world\black_science\computer_console.dyn
spn\location\dromund_kaas\world\black_science\remote_terminal_p2.spn_p,dyn\location\dromund_kaas\world\black_science\computer_console.dyn
spn\location\dromund_kaas\world\buried_power\chamber_door_1.spn_p,dyn\location\dromund_kaas\world\buried_power\door_hinges.dyn
spn\location\dromund_kaas\world\buried_power\chamber_door_2.spn_p,dyn\location\dromund_kaas\world\buried_power\door_hinges.dyn
spn\location\dromund_kaas\world\buried_power\chamber_door_3.spn_p,dyn\location\dromund_kaas\world\buried_power\door_hinges.dyn
spn\location\dromund_kaas\world\buried_power\door_breaking.spn_p,dyn\location\dromund_kaas\world\buried_power\door_breaking_fx.dyn
spn\location\dromund_kaas\world\buried_power\torch_crate.spn_p,dyn\location\dromund_kaas\world\buried_power\torch_crate.dyn
spn\location\dromund_kaas\world\buried_power\welding_torch.spn_p,dyn\location\dromund_kaas\world\buried_power\welding_turret.dyn
spn\location\dromund_kaas\world\death_and_life\revanite_altar.spn_p,art\static\area\all_all\item\ruins\all_item_ruins_dark_altar_b_top.gr2
spn\location\dromund_kaas\world\flashes_in_the_dark\lighting_rod.spn_p,dyn\location\dromund_kaas\world\flashes_in_the_dark\lighting_rod.dyn
spn\location\dromund_kaas\world\pilgrimage\security_console.spn_p,dyn\location\dromund_kaas\world\pilgrimage\security_console.dyn
spn\location\dromund_kaas\world\testing_grounds\reserve_water_tank.spn_p,dyn\location\dromund_kaas\world\testing_grounds\reserve_water_tank_2.dyn
spn\location\dromund_kaas\world\testing_grounds\water_filter_01.spn_p,dyn\location\dromund_kaas\world\testing_grounds\water_filter.dyn
spn\location\dromund_kaas\world\testing_grounds\water_filter_02.spn_p,dyn\location\dromund_kaas\world\testing_grounds\water_filter.dyn
spn\location\dromund_kaas\world\testing_grounds\water_filter_03.spn_p,dyn\location\dromund_kaas\world\testing_grounds\water_filter.dyn
spn\location\dromund_kaas\world\testing_grounds\water_filter_04.spn_p,dyn\location\dromund_kaas\world\testing_grounds\water_filter.dyn
spn\location\dromund_kaas\world\the_mask_of_revan\relic_chest.spn_p,dyn\location\dromund_kaas\world\the_mask_of_revan\mask_alter.dyn
spn\location\dromund_kaas\world\the_mask_of_revan\revan_door.spn_p,dyn\location\dromund_kaas\world\the_mask_of_revan\revan_door.dyn
spn\location\dromund_kaas\world\the_masters_secret\the_master_holo.spn_p,art\static\area\all_all\item\temple\all_item_temple_holo_pedestal_holotech_device.gr2
spn\location\dromund_kaas\world\the_slave_killers\datapad.spn_p,art\static\designblockout\republic\republic_body\designblockout_republic_body.gr2
spn\location\dromund_kaas\world\the_slave_killers\murdered_slave.spn_p,art\static\area\all_all\item\corpse\corpse_burned_bms.gr2
spn\location\dromund_kaas\world\the_slave_killers\signal_device.spn_p,dyn\location\dromund_kaas\world\the_slave_killers\signal_fire.dyn
spn\location\dromund_kaas\world\the_war_machine\command_console.spn_p,art\static\area\all_all\item\tech\all_item_tech_controlpanel_keyboard01.gr2
spn\location\dromund_kaas\world\the_war_machine\elevator.spn_p,art\static\area\all_all\arch\imperial\all_arch_imp_vehicle_hangar_lift_01.gr2
spn\location\dromund_kaas\world\the_wretch_king\tomb_cache.spn_p,art\static\item\container\item_con_crate_ancient_02.gr2
spn\location\dromund_kaas\world\warning_sign\landing_beacon_01.spn_p,dyn\location\dromund_kaas\world\warning_sign\control_panel.dyn
spn\location\dromund_kaas\world\warning_sign\landing_beacon_03.spn_p,dyn\location\dromund_kaas\world\warning_sign\control_panel.dyn
spn\location\dromund_kaas\world\warning_sign\landing_beacon_04.spn_p,dyn\location\dromund_kaas\world\warning_sign\control_panel.dyn
spn\location\flashpoint\daily\imperial\daily_mission_board_1.spn_p,art\static\area\all_all\item\tech\all_item_tech_bounty_board_kiosk_pickup.gr2
spn\location\flashpoint\daily\imperial\daily_mission_turnin_1.spn_p,art\static\area\all_all\item\tech\all_item_tech_bounty_board_kiosk_dropoff.gr2
spn\location\flashpoint\daily\republic\daily_mission_board_1.spn_p,art\static\area\all_all\item\tech\all_item_tech_bounty_board_kiosk_pickup.gr2
spn\location\flashpoint\daily\republic\daily_mission_turnin_1.spn_p,art\static\area\all_all\item\tech\all_item_tech_bounty_board_kiosk_dropoff.gr2
spn\location\flashpoint\generic\crewskill\archeology\buff\damage_done.spn_p,dyn\location\flashpoint\generic\crewskill\archaeology\buff\damage_done.dyn
spn\location\flashpoint\generic\crewskill\archeology\buff\damage_done_imp.spn_p,dyn\location\flashpoint\generic\crewskill\archaeology\buff\damage_done_imp.dyn
spn\location\flashpoint\generic\crewskill\archeology\buff\damage_received.spn_p,dyn\location\flashpoint\generic\crewskill\archaeology\buff\damge_received.dyn
spn\location\flashpoint\generic\crewskill\archeology\buff\damage_received_imp.spn_p,dyn\location\flashpoint\generic\crewskill\archaeology\buff\damage_received_imp.dyn
spn\location\flashpoint\generic\crewskill\archeology\buff\health_regen.spn_p,dyn\location\flashpoint\generic\crewskill\archaeology\buff\health_regen.dyn
